event_key,occurred_at,module,route_id,destination,transport,exchange,state_code,elapsed_seconds,session_ref,trace_id,fault
EVT-0001178,2026-09-10 00:48:52,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,5,12.185,SESS-C175AAF2E5,REQ-1311D4852E91,VAL_400|Validation|Required business field failed validation
EVT-0001180,2026-09-10 07:35:26,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,16.021,SESS-A66BF52F5B,REQ-5B41F955D070,
EVT-0001185,2026-09-10 04:28:49,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,30.765,SESS-804EF3A0B7,REQ-4F76C5CE1F91,AUTH_401|Authentication|Service credential rejected
EVT-0001199,2026-09-11 21:30:11,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.129,SESS-27223A25A4,REQ-1887F4145DEB,
EVT-0001224,2026-09-15 14:23:21,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,30.287,SESS-371791C86F,REQ-9BD3F07B04B2,AUTHZ_403|Authorization|Caller is not authorized
EVT-0001242,2026-09-16 07:34:11,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,37.128,SESS-21B98B7D7D,REQ-D992E9D5D788,CFG_017|Configuration|Interface configuration mismatch
EVT-0001247,2026-09-16 03:50:14,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,6.069,SESS-8DA6EE496B,REQ-221A4F8EA563,
EVT-0001282,2026-09-10 03:54:09,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,3.789,SESS-9A6E2BFB59,REQ-27BDF804B6BF,
EVT-0001298,2026-09-16 15:01:31,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.062,SESS-B8E0E6F255,REQ-C14C35007B36,
EVT-0001299,2026-09-10 07:07:46,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,23.647,SESS-398660E8F6,REQ-B81F494A3DBE,VAL_400|Validation|Required business field failed validation
EVT-0001300,2026-09-13 11:25:54,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,3.84,SESS-33874A784A,REQ-D88DA9B0ED9F,
EVT-0001301,2026-09-15 09:28:01,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,9.73,SESS-D4E6E9D861,REQ-2804C4F5EC7F,
EVT-0001308,2026-09-15 20:44:41,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.886,SESS-51BAD508EB,REQ-345BDD20135B,
EVT-0001320,2026-09-13 12:26:37,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,12.437,SESS-91005FBB1B,REQ-E3F5D49D8E38,
EVT-0001336,2026-09-14 12:13:55,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.994,SESS-300D5FDCD0,REQ-889CAFCF9621,
EVT-0001352,2026-09-13 13:14:48,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.423,SESS-786D4123E0,REQ-35BED59B3BD9,
EVT-0001353,2026-09-13 20:17:37,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,7.642,SESS-C590E5E637,REQ-EF6C15883586,
EVT-0001394,2026-09-11 07:12:29,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,13.31,SESS-83F48DD9CF,REQ-E66ACCBC4B30,
EVT-0001410,2026-09-10 18:08:44,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.224,SESS-B68E18A92D,REQ-F6C5591CDB17,
EVT-0001419,2026-09-11 04:25:59,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,3.769,SESS-BAF57D8E2F,REQ-4ED2B3F1080C,
EVT-0001437,2026-09-12 08:13:09,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,15.349,SESS-728FE9E588,REQ-F76023A98DDD,
EVT-0001446,2026-09-10 17:09:47,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,5,8.948,SESS-F0B26F9449,REQ-DA11F069E4D2,VAL_400|Validation|Required business field failed validation
EVT-0001447,2026-09-10 18:40:31,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,5,8.584,SESS-B371E7C8B5,REQ-860387C009EA,CFG_017|Configuration|Interface configuration mismatch
EVT-0001461,2026-09-13 19:29:17,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.955,SESS-7EDF30EEE7,REQ-C2A3373E3FF4,
EVT-0001466,2026-09-10 04:44:43,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,13.684,SESS-A827A3119C,REQ-B69E69AD9E64,
EVT-0001476,2026-09-11 00:38:30,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.974,SESS-3D8C1A1572,REQ-DDA288D91E44,
EVT-0001490,2026-09-16 21:34:57,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.434,SESS-F4716CD3FB,REQ-3B41D9F46073,
EVT-0001495,2026-09-14 16:12:58,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,12.257,SESS-958C42C6B9,REQ-145BB2D71DA8,
EVT-0001512,2026-09-15 12:22:22,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,9.792,SESS-5B2A0B1210,REQ-31C7FBEE0B07,
EVT-0001516,2026-09-13 01:07:59,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,12.457,SESS-ABBFD2BA72,REQ-B42B64A34DDD,
EVT-0001523,2026-09-14 06:28:35,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,14.753,SESS-E3BC7EF687,REQ-6F90CDC27CCE,
EVT-0001566,2026-09-14 07:57:01,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.858,SESS-353CD71971,REQ-733FADB7C854,
EVT-0001574,2026-09-15 09:01:42,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.786,SESS-2D4B7B55A8,REQ-335038BFC27A,
EVT-0001587,2026-09-13 11:05:27,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.358,SESS-A39C90891A,REQ-6D139A545A86,
EVT-0001588,2026-09-15 06:33:38,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,8.989,SESS-9EB42A53A4,REQ-577A208ECFF5,
EVT-0001634,2026-09-15 06:40:47,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,5,8.981,SESS-DD0662A244,REQ-6A5F440A3D27,INFRA_008|Infrastructure|Runtime node unavailable
EVT-0001637,2026-09-12 17:18:44,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.611,SESS-D1D3CC1B49,REQ-14578D129165,
EVT-0001643,2026-09-12 18:43:22,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,14.195,SESS-5E303CA236,REQ-953015E0B673,
EVT-0001653,2026-09-10 21:50:25,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,11.362,SESS-9A0942DFAB,REQ-F8F87502132A,
EVT-0001665,2026-09-13 06:41:14,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,6.527,SESS-058C93E515,REQ-BCA309DC6612,
EVT-0001675,2026-09-14 14:36:44,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,3.204,SESS-51118A97B9,REQ-D1CC59CB82E4,
EVT-0001686,2026-09-13 13:28:33,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.78,SESS-ED483B27B3,REQ-3AC9DA481764,
EVT-0001696,2026-09-11 09:16:26,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,3.143,SESS-C6C1A47E6A,REQ-B742C0BD1DF6,
EVT-0001711,2026-09-16 08:17:44,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,2.662,SESS-55258C8BD7,REQ-3CF30A007A81,
EVT-0001713,2026-09-14 23:42:26,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.414,SESS-CA3AE94760,REQ-4771E1AE3F81,
EVT-0001734,2026-09-16 21:38:08,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,18.949,SESS-5E0459A327,REQ-53B4E4926A34,
EVT-0001737,2026-09-11 02:49:24,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,5,8.497,SESS-B44301214B,REQ-545A29425A68,TIME_004|Timeout|Downstream response exceeded SLA
EVT-0001745,2026-09-13 18:49:38,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,12.344,SESS-010096C033,REQ-5B9649BC72FB,
EVT-0001752,2026-09-10 16:53:05,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,13.454,SESS-B116C5EA75,REQ-70A229635B43,
EVT-0001815,2026-09-14 16:13:14,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,9,32.201,SESS-A032A849A5,REQ-C705875DBC26,AUTH_401|Authentication|Service credential rejected
EVT-0001838,2026-09-16 03:17:56,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,3.847,SESS-4A9CE2F8C7,REQ-BBE2277394E8,
EVT-0001849,2026-09-12 12:31:33,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,15.026,SESS-05ABF96AD1,REQ-DECD45EDFD96,
EVT-0001852,2026-09-11 19:40:51,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,19.191,SESS-400AD9EC23,REQ-6D986EA96BF1,
EVT-0001865,2026-09-15 10:47:39,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,41.796,SESS-270F600177,REQ-89E04C0691EB,VAL_400|Validation|Required business field failed validation
EVT-0001874,2026-09-14 22:48:55,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,14.721,SESS-45087D477C,REQ-D460338D9A1E,
EVT-0001876,2026-09-10 03:33:11,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,3.64,SESS-C9A68184CD,REQ-C72B40F34010,
EVT-0001882,2026-09-10 03:25:34,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,5,11.435,SESS-7B48456055,REQ-3514ABD9280E,DB_COMMIT_014|Database|Transaction commit failed
EVT-0001891,2026-09-15 01:33:04,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,16.073,SESS-C545E6C74F,REQ-E475F77078AD,
EVT-0001892,2026-09-11 17:51:49,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,44.26,SESS-E7C8565E1B,REQ-BD74BE40BF81,AUTHZ_403|Authorization|Caller is not authorized
EVT-0001914,2026-09-13 21:15:11,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.737,SESS-C4A756F05E,REQ-18FDA677A918,
EVT-0001917,2026-09-12 11:16:03,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,12.204,SESS-5A450674DC,REQ-1A6AC45B8245,
EVT-0001923,2026-09-11 09:52:50,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,12.166,SESS-22C76EC15D,REQ-0D6207BE4FBA,
