Date,InterfaceID,priority_weight,process_impact_weight,frequency,days_to_quarter_end,close_calendar_multiplier,CoIF
2024-09-05,IF_MFG_003,25,35,27,25,1.056,33.83
2024-09-05,IF_MFG_004,5,20,3,25,1.056,16.43
2024-09-05,IF_PRC_001,60,70,22,25,1.056,54.17
2024-09-05,IF_PRC_002,25,55,15,25,1.056,33.59
2024-09-05,IF_PRC_003,5,15,15,25,1.056,23.61
2024-09-05,IF_ASM_001,60,85,13,25,1.056,57.02
2024-09-05,IF_ASM_002,60,80,26,25,1.056,52.32
2024-09-05,IF_DLV_001,100,100,24,25,1.056,73.02
2024-09-06,IF_ORD_001,100,90,48,24,1.065,70.94
2024-09-06,IF_PAY_001,100,100,66,24,1.065,77.59
2024-09-06,IF_PAY_002,25,30,10,24,1.065,30.8
2024-09-06,IF_ORD_002,100,90,40,24,1.065,72.7
2024-09-06,IF_ORD_003,60,80,22,24,1.065,57.5
2024-09-06,IF_MFG_001,60,75,30,24,1.065,52.01
2024-09-06,IF_MFG_002,25,65,11,24,1.065,35.9
2024-09-06,IF_MFG_003,25,35,18,24,1.065,30.35
2024-09-06,IF_MFG_004,5,20,9,24,1.065,21.81
2024-09-06,IF_PRC_001,60,70,26,24,1.065,56.87
2024-09-06,IF_PRC_002,25,55,22,24,1.065,35.19
2024-09-06,IF_PRC_003,5,15,5,24,1.065,16.19
2024-09-06,IF_ASM_001,60,85,26,24,1.065,50.35
2024-09-06,IF_ASM_002,60,80,30,24,1.065,51.25
2024-09-06,IF_DLV_001,100,100,36,24,1.065,68.96
2024-09-07,IF_ORD_001,100,90,41,23,1.075,69.81
2024-09-07,IF_PAY_001,100,100,56,23,1.075,79.9
2024-09-07,IF_PAY_002,25,30,11,23,1.075,28.53
2024-09-07,IF_ORD_002,100,90,34,23,1.075,69.62
2024-09-07,IF_ORD_003,60,80,17,23,1.075,56.6
2024-09-07,IF_MFG_001,60,75,25,23,1.075,54.48
2024-09-07,IF_MFG_002,25,65,23,23,1.075,37.31
2024-09-07,IF_MFG_003,25,35,23,23,1.075,33.72
2024-09-07,IF_MFG_004,5,20,18,23,1.075,18.82
2024-09-07,IF_PRC_001,60,70,27,23,1.075,52.64
2024-09-07,IF_PRC_002,25,55,17,23,1.075,38.62
2024-09-07,IF_PRC_003,5,15,3,23,1.075,13.69
2024-09-07,IF_ASM_001,60,85,34,23,1.075,58.81
2024-09-07,IF_ASM_002,60,80,26,23,1.075,51.64
2024-09-07,IF_DLV_001,100,100,41,23,1.075,69.42
2024-09-08,IF_ORD_001,100,90,28,22,1.086,73.96
2024-09-08,IF_PAY_001,100,100,58,22,1.086,77.52
2024-09-08,IF_PAY_002,25,30,10,22,1.086,23.54
2024-09-08,IF_ORD_002,100,90,58,22,1.086,74.4
2024-09-08,IF_ORD_003,60,80,30,22,1.086,56.78
2024-09-08,IF_MFG_001,60,75,135,22,1.086,58.97
2024-09-08,IF_MFG_002,25,65,28,22,1.086,35.58
2024-09-08,IF_MFG_003,25,35,22,22,1.086,34.47
2024-09-08,IF_MFG_004,5,20,12,22,1.086,25.14
2024-09-08,IF_PRC_001,60,70,22,22,1.086,51.01
2024-09-08,IF_PRC_002,25,55,24,22,1.086,37.9
2024-09-08,IF_PRC_003,5,15,10,22,1.086,19.32
2024-09-08,IF_ASM_001,60,85,35,22,1.086,61.72
2024-09-08,IF_ASM_002,60,80,28,22,1.086,60.13
2024-09-08,IF_DLV_001,100,100,49,22,1.086,78.21
2024-09-09,IF_ORD_001,100,90,40,21,1.1,69.11
2024-09-09,IF_PAY_001,100,100,39,21,1.1,71.29
2024-09-09,IF_PAY_002,25,30,18,21,1.1,32.35
2024-09-09,IF_ORD_002,100,90,49,21,1.1,72.36
2024-09-09,IF_ORD_003,60,80,29,21,1.1,52.88
2024-09-09,IF_MFG_001,60,75,21,21,1.1,50.38
2024-09-09,IF_MFG_002,25,65,21,21,1.1,36.79
2024-09-09,IF_MFG_003,25,35,10,21,1.1,30.03
2024-09-09,IF_MFG_004,5,20,3,21,1.1,17.97
2024-09-09,IF_PRC_001,60,70,34,21,1.1,53.1
2024-09-09,IF_PRC_002,25,55,30,21,1.1,45.51
2024-09-09,IF_PRC_003,5,15,18,21,1.1,22.84
2024-09-09,IF_ASM_001,60,85,31,21,1.1,59.43
2024-09-09,IF_ASM_002,60,80,23,21,1.1,60.02
2024-09-09,IF_DLV_001,100,100,40,21,1.1,75.11
2024-09-10,IF_ORD_001,100,90,61,20,1.115,70.97
2024-09-10,IF_PAY_001,100,100,39,20,1.115,75.7
2024-09-10,IF_PAY_002,25,30,79,20,1.115,38.1
2024-09-10,IF_ORD_002,100,90,46,20,1.115,76.7
2024-09-10,IF_ORD_003,60,80,32,20,1.115,54.84
2024-09-10,IF_MFG_001,60,75,22,20,1.115,52.32
2024-09-10,IF_MFG_002,25,65,31,20,1.115,46.48
2024-09-10,IF_MFG_003,25,35,18,20,1.115,26.49
2024-09-10,IF_MFG_004,5,20,13,20,1.115,12.78
2024-09-10,IF_PRC_001,60,70,44,20,1.115,54.64
2024-09-10,IF_PRC_002,25,55,12,20,1.115,34.9
2024-09-10,IF_PRC_003,5,15,10,20,1.115,19.62
2024-09-10,IF_ASM_001,60,85,22,20,1.115,55.85
2024-09-10,IF_ASM_002,60,80,32,20,1.115,55.35
2024-09-10,IF_DLV_001,100,100,28,20,1.115,75.1
2024-09-11,IF_ORD_001,100,90,40,19,1.133,71.67
2024-09-11,IF_PAY_001,100,100,40,19,1.133,78.57
2024-09-11,IF_PAY_002,25,30,23,19,1.133,30.49
2024-09-11,IF_ORD_002,100,90,27,19,1.133,68.41
2024-09-11,IF_ORD_003,60,80,33,19,1.133,57.21
2024-09-11,IF_MFG_001,60,75,49,19,1.133,56.9
2024-09-11,IF_MFG_002,25,65,17,19,1.133,40.67
2024-09-11,IF_MFG_003,25,35,22,19,1.133,34.79
2024-09-11,IF_MFG_004,5,20,10,19,1.133,21.12
2024-09-11,IF_PRC_001,60,70,24,19,1.133,49.42
2024-09-11,IF_PRC_002,25,55,12,19,1.133,38.96
2024-09-11,IF_PRC_003,5,15,9,19,1.133,16.6
2024-09-11,IF_ASM_001,60,85,38,19,1.133,59.23
2024-09-11,IF_ASM_002,60,80,25,19,1.133,58.34
2024-09-11,IF_DLV_001,100,100,35,19,1.133,76.04
2024-09-12,IF_ORD_001,100,90,38,18,1.153,68.03
2024-09-12,IF_PAY_001,100,100,41,18,1.153,77.36
2024-09-12,IF_PAY_002,25,30,21,18,1.153,31.02
2024-09-12,IF_ORD_002,100,90,66,18,1.153,78.93
2024-09-12,IF_ORD_003,60,80,32,18,1.153,57.34
2024-09-12,IF_MFG_001,60,75,26,18,1.153,56.6
2024-09-12,IF_MFG_002,25,65,15,18,1.153,41.36
2024-09-12,IF_MFG_003,25,35,8,18,1.153,23.76
2024-09-12,IF_MFG_004,5,20,6,18,1.153,19.57
2024-09-12,IF_PRC_001,60,70,37,18,1.153,55.14
2024-09-12,IF_PRC_002,25,55,14,18,1.153,37.73
2024-09-12,IF_PRC_003,5,15,18,18,1.153,25.87
2024-09-12,IF_ASM_001,60,85,29,18,1.153,57.27
2024-09-12,IF_ASM_002,60,80,30,18,1.153,56.46
2024-09-12,IF_DLV_001,100,100,47,18,1.153,75.23
2024-09-13,IF_ORD_001,100,90,26,17,1.176,79.11
2024-09-13,IF_PAY_001,100,100,45,17,1.176,77.14
2024-09-13,IF_PAY_002,25,30,17,17,1.176,26.53
2024-09-13,IF_ORD_002,100,90,35,17,1.176,74.5
2024-09-13,IF_ORD_003,60,80,25,17,1.176,58.92
2024-09-13,IF_MFG_001,60,75,25,17,1.176,56.3
2024-09-13,IF_MFG_002,25,65,15,17,1.176,43.79
2024-09-13,IF_MFG_003,25,35,28,17,1.176,35.03
2024-09-13,IF_MFG_004,5,20,3,17,1.176,12.92
2024-09-13,IF_PRC_001,60,70,40,17,1.176,55.47
2024-09-13,IF_PRC_002,25,55,17,17,1.176,35.35
2024-09-13,IF_PRC_003,5,15,8,17,1.176,18.0
2024-09-13,IF_ASM_001,60,85,17,17,1.176,58.5
2024-09-13,IF_ASM_002,60,80,21,17,1.176,57.26
2024-09-13,IF_DLV_001,100,100,35,17,1.176,73.53
2024-09-14,IF_ORD_001,100,90,40,16,1.203,80.41
2024-09-14,IF_PAY_001,100,100,141,16,1.203,81.37
2024-09-14,IF_PAY_002,25,30,21,16,1.203,32.88
2024-09-14,IF_ORD_002,100,90,34,16,1.203,69.84
2024-09-14,IF_ORD_003,60,80,75,16,1.203,63.45
2024-09-14,IF_MFG_001,60,75,39,16,1.203,59.41
2024-09-14,IF_MFG_002,25,65,10,16,1.203,42.18
2024-09-14,IF_MFG_003,25,35,12,16,1.203,30.75
2024-09-14,IF_MFG_004,5,20,12,16,1.203,28.16
2024-09-14,IF_PRC_001,60,70,21,16,1.203,50.79
2024-09-14,IF_PRC_002,25,55,7,16,1.203,30.06
2024-09-14,IF_PRC_003,5,15,17,16,1.203,24.03
2024-09-14,IF_ASM_001,60,85,18,16,1.203,57.63
2024-09-14,IF_ASM_002,60,80,35,16,1.203,55.51
2024-09-14,IF_DLV_001,100,100,27,16,1.203,77.46
2024-09-15,IF_ORD_001,100,90,47,15,1.235,74.34
2024-09-15,IF_PAY_001,100,100,58,15,1.235,80.57
2024-09-15,IF_PAY_002,25,30,21,15,1.235,30.87
2024-09-15,IF_ORD_002,100,90,31,15,1.235,75.12
2024-09-15,IF_ORD_003,60,80,29,15,1.235,56.95
2024-09-15,IF_MFG_001,60,75,40,15,1.235,62.21
2024-09-15,IF_MFG_002,25,65,32,15,1.235,43.59
2024-09-15,IF_MFG_003,25,35,12,15,1.235,34.96
2024-09-15,IF_MFG_004,5,20,13,15,1.235,22.75
2024-09-15,IF_PRC_001,60,70,25,15,1.235,54.59
2024-09-15,IF_PRC_002,25,55,13,15,1.235,39.29
2024-09-15,IF_PRC_003,5,15,10,15,1.235,19.71
2024-09-15,IF_ASM_001,60,85,33,15,1.235,58.42
2024-09-15,IF_ASM_002,60,80,40,15,1.235,57.81
2024-09-15,IF_DLV_001,100,100,39,15,1.235,77.43
2024-09-16,IF_ORD_001,100,90,223,14,1.271,77.93
2024-09-16,IF_PAY_001,100,100,54,14,1.271,80.58
2024-09-16,IF_PAY_002,25,30,13,14,1.271,25.23
2024-09-16,IF_ORD_002,100,90,31,14,1.271,78.06
2024-09-16,IF_ORD_003,60,80,28,14,1.271,55.09
2024-09-16,IF_MFG_001,60,75,43,14,1.271,56.12
2024-09-16,IF_MFG_002,25,65,20,14,1.271,43.8
2024-09-16,IF_MFG_003,25,35,23,14,1.271,33.56
2024-09-16,IF_MFG_004,5,20,9,14,1.271,23.17
2024-09-16,IF_PRC_001,60,70,31,14,1.271,57.15
2024-09-16,IF_PRC_002,25,55,18,14,1.271,38.14
2024-09-16,IF_PRC_003,5,15,6,14,1.271,19.04
2024-09-16,IF_ASM_001,60,85,20,14,1.271,58.86
2024-09-16,IF_ASM_002,60,80,27,14,1.271,55.84
2024-09-16,IF_DLV_001,100,100,46,14,1.271,76.87
2024-09-17,IF_ORD_001,100,90,38,13,1.312,77.66
2024-09-17,IF_PAY_001,100,100,36,13,1.312,79.03
2024-09-17,IF_PAY_002,25,30,17,13,1.312,36.73
2024-09-17,IF_ORD_002,100,90,50,13,1.312,77.18
2024-09-17,IF_ORD_003,60,80,19,13,1.312,51.14
2024-09-17,IF_MFG_001,60,75,32,13,1.312,55.3
2024-09-17,IF_MFG_002,25,65,9,13,1.312,39.21
2024-09-17,IF_MFG_003,25,35,32,13,1.312,35.82
2024-09-17,IF_MFG_004,5,20,16,13,1.312,23.39
2024-09-17,IF_PRC_001,60,70,37,13,1.312,59.63
2024-09-17,IF_PRC_002,25,55,23,13,1.312,40.33
2024-09-17,IF_PRC_003,5,15,9,13,1.312,20.17
2024-09-17,IF_ASM_001,60,85,21,13,1.312,53.4
2024-09-17,IF_ASM_002,60,80,20,13,1.312,56.63
2024-09-17,IF_DLV_001,100,100,48,13,1.312,73.39
2024-09-18,IF_ORD_001,100,90,31,12,1.36,71.5
2024-09-18,IF_PAY_001,100,100,54,12,1.36,75.12
2024-09-18,IF_PAY_002,25,30,28,12,1.36,39.35
2024-09-18,IF_ORD_002,100,90,34,12,1.36,73.69
2024-09-18,IF_ORD_003,60,80,21,12,1.36,59.69
2024-09-18,IF_MFG_001,60,75,29,12,1.36,51.49
2024-09-18,IF_MFG_002,25,65,30,12,1.36,48.06
2024-09-18,IF_MFG_003,25,35,12,12,1.36,33.56
2024-09-18,IF_MFG_004,5,20,6,12,1.36,22.04
2024-09-18,IF_PRC_001,60,70,36,12,1.36,56.78
2024-09-18,IF_PRC_002,25,55,18,12,1.36,41.18
2024-09-18,IF_PRC_003,5,15,8,12,1.36,18.62
2024-09-18,IF_ASM_001,60,85,28,12,1.36,57.72
2024-09-18,IF_ASM_002,60,80,41,12,1.36,60.3
2024-09-18,IF_DLV_001,100,100,54,12,1.36,74.78
2024-09-19,IF_ORD_001,100,90,25,11,1.415,74.53
2024-09-19,IF_PAY_001,100,100,38,11,1.415,80.23
2024-09-19,IF_PAY_002,25,30,14,11,1.415,32.12
2024-09-19,IF_ORD_002,100,90,53,11,1.415,77.24
2024-09-19,IF_ORD_003,60,80,30,11,1.415,63.05
2024-09-19,IF_MFG_001,60,75,25,11,1.415,57.72
2024-09-19,IF_MFG_002,25,65,21,11,1.415,43.17
2024-09-19,IF_MFG_003,25,35,13,11,1.415,28.22
2024-09-19,IF_MFG_004,5,20,6,11,1.415,22.63
2024-09-19,IF_PRC_001,60,70,21,11,1.415,58.29
2024-09-19,IF_PRC_002,25,55,19,11,1.415,41.18
2024-09-19,IF_PRC_003,5,15,14,11,1.415,22.28
2024-09-19,IF_ASM_001,60,85,43,11,1.415,64.2
2024-09-19,IF_ASM_002,60,80,26,11,1.415,58.04
2024-09-19,IF_DLV_001,100,100,52,11,1.415,77.78
2024-09-20,IF_ORD_001,100,90,52,10,1.479,80.65
2024-09-20,IF_PAY_001,100,100,42,10,1.479,76.44
2024-09-20,IF_PAY_002,25,30,23,10,1.479,34.94
2024-09-20,IF_ORD_002,100,90,46,10,1.479,75.63
2024-09-20,IF_ORD_003,60,80,27,10,1.479,57.48
2024-09-20,IF_MFG_001,60,75,41,10,1.479,55.45
2024-09-20,IF_MFG_002,25,65,31,10,1.479,47.04
2024-09-20,IF_MFG_003,25,35,19,10,1.479,32.58
2024-09-20,IF_MFG_004,5,20,16,10,1.479,31.12
2024-09-20,IF_PRC_001,60,70,37,10,1.479,60.34
2024-09-20,IF_PRC_002,25,55,12,10,1.479,34.81
2024-09-20,IF_PRC_003,5,15,5,10,1.479,19.19
2024-09-20,IF_ASM_001,60,85,38,10,1.479,57.97
2024-09-20,IF_ASM_002,60,80,31,10,1.479,57.6
2024-09-20,IF_DLV_001,100,100,35,10,1.479,73.71
2024-09-21,IF_ORD_001,100,90,43,9,1.553,75.41
2024-09-21,IF_PAY_001,100,100,49,9,1.553,78.33
2024-09-21,IF_PAY_002,25,30,18,9,1.553,32.11
2024-09-21,IF_ORD_002,100,90,39,9,1.553,73.24
2024-09-21,IF_ORD_003,60,80,23,9,1.553,56.61
2024-09-21,IF_MFG_001,60,75,46,9,1.553,61.68
2024-09-21,IF_MFG_002,25,65,20,9,1.553,40.41
2024-09-21,IF_MFG_003,25,35,23,9,1.553,37.9
2024-09-21,IF_MFG_004,5,20,11,9,1.553,27.74
2024-09-21,IF_PRC_001,60,70,27,9,1.553,57.61
2024-09-21,IF_PRC_002,25,55,21,9,1.553,41.2
2024-09-21,IF_PRC_003,5,15,12,9,1.553,24.38
2024-09-21,IF_ASM_001,60,85,29,9,1.553,64.04
2024-09-21,IF_ASM_002,60,80,32,9,1.553,63.53
2024-09-21,IF_DLV_001,100,100,80,9,1.553,82.6
2024-09-22,IF_ORD_001,100,90,45,8,1.638,78.62
2024-09-22,IF_PAY_001,100,100,43,8,1.638,80.27
2024-09-22,IF_PAY_002,25,30,14,8,1.638,34.97
2024-09-22,IF_ORD_002,100,90,158,8,1.638,82.98
2024-09-22,IF_ORD_003,60,80,24,8,1.638,63.55
2024-09-22,IF_MFG_001,60,75,24,8,1.638,63.41
2024-09-22,IF_MFG_002,25,65,32,8,1.638,48.26
2024-09-22,IF_MFG_003,25,35,18,8,1.638,34.11
2024-09-22,IF_MFG_004,5,20,11,8,1.638,20.38
2024-09-22,IF_PRC_001,60,70,26,8,1.638,52.28
2024-09-22,IF_PRC_002,25,55,25,8,1.638,41.51
2024-09-22,IF_PRC_003,5,15,4,8,1.638,15.0
2024-09-22,IF_ASM_001,60,85,44,8,1.638,65.04
2024-09-22,IF_ASM_002,60,80,34,8,1.638,65.67
2024-09-22,IF_DLV_001,100,100,56,8,1.638,77.13
2024-09-23,IF_ORD_001,100,90,42,7,1.736,78.44
2024-09-23,IF_PAY_001,100,100,49,7,1.736,84.05
2024-09-23,IF_PAY_002,25,30,24,7,1.736,34.35
2024-09-23,IF_ORD_002,100,90,74,7,1.736,78.97
2024-09-23,IF_ORD_003,60,80,37,7,1.736,61.23
2024-09-23,IF_MFG_001,60,75,30,7,1.736,61.96
2024-09-23,IF_MFG_002,25,65,18,7,1.736,48.51
2024-09-23,IF_MFG_003,25,35,27,7,1.736,39.51
2024-09-23,IF_MFG_004,5,20,11,7,1.736,24.95
2024-09-23,IF_PRC_001,60,70,29,7,1.736,64.9
2024-09-23,IF_PRC_002,25,55,12,7,1.736,46.12
2024-09-23,IF_PRC_003,5,15,15,7,1.736,25.67
2024-09-23,IF_ASM_001,60,85,134,7,1.736,66.97
2024-09-23,IF_ASM_002,60,80,47,7,1.736,65.56
2024-09-23,IF_DLV_001,100,100,55,7,1.736,83.17
2024-09-24,IF_ORD_001,100,90,54,6,1.849,77.16
2024-09-24,IF_PAY_001,100,100,60,6,1.849,88.74
2024-09-24,IF_PAY_002,25,30,10,6,1.849,36.87
2024-09-24,IF_ORD_002,100,90,47,6,1.849,76.28
2024-09-24,IF_ORD_003,60,80,41,6,1.849,63.68
2024-09-24,IF_MFG_001,60,75,44,6,1.849,64.55
2024-09-24,IF_MFG_002,25,65,12,6,1.849,45.9
2024-09-24,IF_MFG_003,25,35,21,6,1.849,36.0
2024-09-24,IF_MFG_004,5,20,13,6,1.849,24.47
2024-09-24,IF_PRC_001,60,70,30,6,1.849,62.85
2024-09-24,IF_PRC_002,25,55,31,6,1.849,42.67
2024-09-24,IF_PRC_003,5,15,11,6,1.849,25.6
2024-09-24,IF_ASM_001,60,85,175,6,1.849,68.52
2024-09-24,IF_ASM_002,60,80,23,6,1.849,62.49
2024-09-24,IF_DLV_001,100,100,35,6,1.849,77.88
2024-09-25,IF_ORD_001,100,90,79,5,1.979,82.72
2024-09-25,IF_PAY_001,100,100,52,5,1.979,84.97
2024-09-25,IF_PAY_002,25,30,25,5,1.979,38.61
2024-09-25,IF_ORD_002,100,90,43,5,1.979,79.0
2024-09-25,IF_ORD_003,60,80,29,5,1.979,61.6
2024-09-25,IF_MFG_001,60,75,24,5,1.979,65.31
2024-09-25,IF_MFG_002,25,65,16,5,1.979,47.98
2024-09-25,IF_MFG_003,25,35,24,5,1.979,39.65
2024-09-25,IF_MFG_004,5,20,6,5,1.979,24.41
2024-09-25,IF_PRC_001,60,70,41,5,1.979,64.66
2024-09-25,IF_PRC_002,25,55,17,5,1.979,44.45
2024-09-25,IF_PRC_003,5,15,7,5,1.979,22.86
2024-09-25,IF_ASM_001,60,85,41,5,1.979,65.24
2024-09-25,IF_ASM_002,60,80,34,5,1.979,69.41
2024-09-25,IF_DLV_001,100,100,41,5,1.979,78.29
2024-09-26,IF_ORD_001,100,90,70,4,2.129,84.13
2024-09-26,IF_PAY_001,100,100,38,4,2.129,86.07
2024-09-26,IF_PAY_002,25,30,12,4,2.129,33.48
2024-09-26,IF_ORD_002,100,90,85,4,2.129,84.58
2024-09-26,IF_ORD_003,60,80,30,4,2.129,63.4
2024-09-26,IF_MFG_001,60,75,25,4,2.129,64.32
2024-09-26,IF_MFG_002,25,65,20,4,2.129,50.48
2024-09-26,IF_MFG_003,25,35,23,4,2.129,44.69
2024-09-26,IF_MFG_004,5,20,12,4,2.129,28.19
2024-09-26,IF_PRC_001,60,70,49,4,2.129,72.84
2024-09-26,IF_PRC_002,25,55,19,4,2.129,52.22
2024-09-26,IF_PRC_003,5,15,10,4,2.129,26.25
2024-09-26,IF_ASM_001,60,85,34,4,2.129,70.28
2024-09-26,IF_ASM_002,60,80,34,4,2.129,67.75
2024-09-26,IF_DLV_001,100,100,57,4,2.129,87.96
2024-09-27,IF_ORD_001,100,90,54,3,2.303,84.13
2024-09-27,IF_PAY_001,100,100,36,3,2.303,86.4
2024-09-27,IF_PAY_002,25,30,25,3,2.303,38.31
2024-09-27,IF_ORD_002,100,90,69,3,2.303,88.07
2024-09-27,IF_ORD_003,60,80,42,3,2.303,65.03
2024-09-27,IF_MFG_001,60,75,33,3,2.303,70.85
2024-09-27,IF_MFG_002,25,65,20,3,2.303,51.03
2024-09-27,IF_MFG_003,25,35,12,3,2.303,43.17
2024-09-27,IF_MFG_004,5,20,22,3,2.303,36.25
2024-09-27,IF_PRC_001,60,70,30,3,2.303,66.9
2024-09-27,IF_PRC_002,25,55,16,3,2.303,49.95
2024-09-27,IF_PRC_003,5,15,11,3,2.303,27.96
2024-09-27,IF_ASM_001,60,85,21,3,2.303,67.11
2024-09-27,IF_ASM_002,60,80,126,3,2.303,77.42
2024-09-27,IF_DLV_001,100,100,69,3,2.303,89.65
2024-09-28,IF_ORD_001,100,90,64,2,2.503,85.34
2024-09-28,IF_PAY_001,100,100,56,2,2.503,93.53
2024-09-28,IF_PAY_002,25,30,33,2,2.503,46.89
2024-09-28,IF_ORD_002,100,90,84,2,2.503,91.18
2024-09-28,IF_ORD_003,60,80,51,2,2.503,75.09
2024-09-28,IF_MFG_001,60,75,45,2,2.503,74.23
2024-09-28,IF_MFG_002,25,65,22,2,2.503,55.33
2024-09-28,IF_MFG_003,25,35,12,2,2.503,42.13
2024-09-28,IF_MFG_004,5,20,17,2,2.503,33.84
2024-09-28,IF_PRC_001,60,70,46,2,2.503,70.59
2024-09-28,IF_PRC_002,25,55,26,2,2.503,57.43
2024-09-28,IF_PRC_003,5,15,14,2,2.503,31.54
2024-09-28,IF_ASM_001,60,85,43,2,2.503,72.29
2024-09-28,IF_ASM_002,60,80,29,2,2.503,76.3
2024-09-28,IF_DLV_001,100,100,72,2,2.503,94.49
2024-09-29,IF_ORD_001,100,90,84,1,2.734,89.03
2024-09-29,IF_PAY_001,100,100,58,1,2.734,94.88
2024-09-29,IF_PAY_002,25,30,42,1,2.734,49.48
2024-09-29,IF_ORD_002,100,90,54,1,2.734,90.08
2024-09-29,IF_ORD_003,60,80,32,1,2.734,68.98
2024-09-29,IF_MFG_001,60,75,46,1,2.734,70.95
2024-09-29,IF_MFG_002,25,65,16,1,2.734,53.82
2024-09-29,IF_MFG_003,25,35,20,1,2.734,49.4
2024-09-29,IF_MFG_004,5,20,81,1,2.734,45.69
2024-09-29,IF_PRC_001,60,70,27,1,2.734,73.58
2024-09-29,IF_PRC_002,25,55,15,1,2.734,50.12
2024-09-29,IF_PRC_003,5,15,12,1,2.734,37.03
2024-09-29,IF_ASM_001,60,85,38,1,2.734,75.92
2024-09-29,IF_ASM_002,60,80,28,1,2.734,72.77
